Tx,Num_Branches,Total_Branch_Length,Total_Axon_Length,Primary_Axon_Length,Average_Branch_Length
Control,9,1495.279,1928.27,432.9911,166.1421
Control,21,1314.449,2194.806,880.3577,62.59279
Control,18,1889.9,2534.234,644.3345,104.9944
Control,17,717.2664,1019.835,302.5689,42.19214
Control,24,1408.053,2328.666,920.6129,58.6689
Control,13,980.97,1482.018,501.0475,75.45924
Control,11,541.7136,858.2269,316.5134,49.24669
Control,20,1052.631,1410.403,357.772,52.63156
Control,5,267.1169,567.5923,300.4755,53.42337
Control,15,795.2267,1191.442,396.2155,53.01512
Control,8,968.9194,1475.437,506.5172,121.1149
Control,57,951.0638,1545.212,594.1478,16.68533
Control,44,2905.94,3519.01,613.07,66.0441
Control,43,1503.602,1873.884,370.282,34.96749
Control,45,1195.331,1893.169,697.8376,26.56291
Control,16,1543.031,2023.849,480.8176,96.43945
Control,14,1429.766,2199.686,769.9199,102.1261
Control,60,2674.2,4088.784,1414.584,44.57
Control,23,727.0842,1279.08,551.9962,31.61236
Control,27,1089.327,2056.888,967.5612,40.34544
DFO,4,298.1212,713.1567,415.0354,74.53031
DFO,49,1405.033,1863.969,458.9361,28.67414
DFO,28,866.5787,1329.411,462.8326,30.94924
DFO,30,1491.458,2242.794,751.3362,49.71527
DFO,46,1118.215,1894.081,775.8658,24.30903
DFO,30,881.9561,1372.281,490.3253,29.39854
DFO,11,1162.221,2084.044,921.8226,105.6565
DFO,12,925.8584,1609.218,683.3598,77.15487
DFO,19,1650.909,2179.504,528.5948,86.88997
DFO,15,1165.707,1975.719,810.0118,77.71378
DFO,66,1771.302,2220.092,448.7896,26.83791
DFO,36,1829.142,2195.66,366.5178,50.8095
DFO,87,1009.788,1294.067,284.2791,11.60676
DFO,26,876.5259,1158.472,281.9456,33.71254
DFO,32,1599.809,3047.196,1447.387,49.99403
DFO,33,1097.541,1618.059,520.5178,33.25882
DFO,22,680.5545,1070.513,389.9585,30.9343
DFO,8,714.318,1214.611,500.2933,89.28975
DFO,29,1033.484,1728.964,695.4796,35.63739
DFO,43,694.8593,1227.153,532.2936,16.15952
